,CIK,Charter_ID,Date_Coded,Date_Filing,CompanyName,State,FullRestate,EntityType,MultComm,MultCommUnequal,MultPreferred,PreferredVote,PreferredVoteLimited,BlankCheck1,BustBankSHVote,BustBankBoD,ReallocateComPref,UnequalVote,WCterm,WCCond,WCProhibit,SMTerm,SMCond,SMProhibit,StaggeredBd,StaggeredBdPhaseOut,CumulativeVoting,CharterSupMaj,MergerSupMaj,CorpOppDirector,CorpOppOfficer,CorpOppSH,Directors102b7,Officers102b7,IndemnityDirector,IndemnityOfficer,AdvancementDirector,AdvancementOfficer,InsuranceDirector,InsuranceOfficer
0,1000228,1000228A20180531,1997-11-12,2007-02-28,HENRY SCHEIN INC,DE,N,,,,,,,,,,,,,,,,,,,,,Partly,,,,,,,,,,,,
1,1000228,1000228B20180531,1998-06-16,1998-07-24,HENRY SCHEIN INC,DE,N,,,,,,,,,,,,,,,,,,,,,Partly,,,,,,,,,,,,
2,1000228,1000228C20180531,2005-05-25,2005-08-03,HENRY SCHEIN INC,DE,N,,,,,,,,,,,,,,,,,,,,,Partly,,,,,,,,,,,,
3,1000228,1000228D20180531,2007-02-28,2007-02-28,HENRY SCHEIN INC,DE,Y,,N,,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,N,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
4,1000228,1000228E20180531,2012-05-15,2012-05-16,HENRY SCHEIN INC,DE,N,,N,,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,N,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
5,1000228,1000228F20180531,2018-05-31,2018-06-01,HENRY SCHEIN INC,DE,Y,,N,,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,N,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
6,1000229,1000229A20120521,2006-05-17,2006-05-17,Core Laboratories,NLD,Y,Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,Require,N,Require,N,,
7,1000229,1000229B20120521,2010-07-08,2010-07-23,Core Laboratories N.V.,NLD,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,Y,N,N,N,N,Y,N,Require,N,Require,N,Allow,N
8,1000229,1000229C20120521,2012-05-21,2013-02-15,Core Laboratories N.V.,NLD,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,N,Require,N,Allow,N
9,1000229,1000229C20120521,2012-05-21,2013-02-15,Core Laboratories N.V.,NLD,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,N,Require,N,Allow,N
10,100030,100030A19970513,1996-05-09,1996-05-09,NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP,OH,Y,Corp,N,,Y,Y,N,Y,Y,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,N,N,N,N,N,N,N,N
11,100030,100030B19970513,1997-05-13,1997-05-13,NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP,OH,Y,Corp,N,,Y,Y,N,Y,Y,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,N,N,N,N,N,N,N,N
12,1000623,1000623A19950818,1995-08-18,2009-11-03,SCHWEITZER MAUDUIT INTERNATIONAL INC,DE,Y,Corp,N,,Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,,,N,,N,Partly,Y,N,N,N,Y,N,N,N,N,N,N,N
13,1000697,1000697A20010525,1999-05-12,1999-08-11,WATERS CORP /DE/,DE,N,Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1000697,1000697B20010525,2000-07-27,2000-08-08,WATERS CORP /DE/,DE,N,Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1000697,1000697C20010525,2001-05-25,2002-03-28,WATERS CORP /DE/,DE,N,Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1000736,1000736A19970324,1997-03-24,1997-03-31,MEDPARTNERS INC,DE,Y,Corp,N,,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,,,Y,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
17,1000753,1000753A20180525,2018-05-25,2018-05-29,"INSPERITY, INC.",DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,Y,,N,Partly,N,N,N,N,Y,N,N,N,N,N,N,N
18,1001039,1001039A20161123,1996-01-17,1996-01-23,WALT DISNEY CO,DE,Y,,N,,Y,Y,N,Y,N,N,N,N,N,,,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,Require,Require,N,N,Allow,Allow
19,1001039,1001039B20161123,2010-03-16,2010-03-16,WALT DISNEY CO,DE,Y,,N,,Y,Y,N,Y,Y,N,N,N,N,,,Y,Y,Y,N,,N,Partly,Y,N,N,N,Y,N,Require,Require,N,N,Allow,Allow
20,1001039,1001039C20161123,2014-03-20,2014-03-20,WALT DISNEY CO,DE,Y,,N,,Y,Y,N,Y,Y,N,N,N,N,,,Y,Y,Cond,N,,N,Partly,Y,N,N,N,Y,N,Require,Require,N,N,Allow,Allow
21,1001039,1001039D20161123,2016-11-23,2016-11-23,WALT DISNEY CO,DE,Y,,N,,Y,Y,N,Y,Y,N,N,N,N,,,Y,Y,Cond,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,Allow,Allow
22,1001082,1001082A20030813,2003-05-19,2007-12-31,DISH Network CORP,NV,N,Corp,Y,Y,,,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,
23,1001082,1001082B20030813,2003-08-13,2003-08-13,DISH Network CORP,NV,Y,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,N,N,N,N,N,Y,N,Require,Require,Allow,Allow,Allow,Allow
24,1001082,1001082B20030813,2003-08-13,2003-08-13,DISH Network CORP,NV,Y,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,N,N,N,N,N,Y,N,Require,Require,Allow,Allow,Allow,Allow
25,1001082,1001082D20030813,2015-11-03,2015-11-03,DISH Network CORP,NV,N,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,N,N,N,N,N,Y,N,Require,Require,Allow,Allow,Allow,Allow
26,1001113,1001113A19980824,1995-11-10,1997-06-27,HYPERION SOLUTIONS CORP,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,N,N
27,1001113,1001113B19980824,1998-08-24,1998-10-13,HYPERION SOLUTIONS CORP,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,Y,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,N,N
28,1001115,1001115A20150416,2015-04-16,2015-05-08,GEOSPACE TECHNOLOGIES CORP,TX,Y,Corp,N,,Y,N,,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,,Prohibit,N,N,N,N,N,Y,Y,Require,Require,Require,Require,N,N
29,1001250,1001250A20121109,1995-11-16,2003-09-15,ESTEE LAUDER COMPANIES INC,DE,Y,Corp,Y,Y,Y,N,,Y,Y,N,N,N,Y,N,Cond,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,N,N,N,N,N,N
30,1001250,1001250B20121109,2012-11-09,2012-11-13,ESTEE LAUDER COMPANIES INC,DE,N,Corp,Y,Y,Y,N,,Y,Y,N,N,N,Y,N,Cond,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,N,N,N,N,N,N
31,1001288,1001288A20130425,2000-06-22,2000-08-10,LEXMARK INTERNATIONAL INC /KY/,DE,Y,,Y,Y,Y,N,,Y,N,N,N,N,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
32,1001288,1001288B20130425,2013-04-25,2013-04-26,LEXMARK INTERNATIONAL INC /KY/,DE,Y,,Y,Y,Y,N,,Y,N,N,N,N,N,,,N,,,Y,2016,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
33,1002037,1002037A20070619,1995-10-05,2009-12-16,LEARNING TREE INTERNATIONAL INC,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,Y,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
34,1002037,1002037B20070619,1997-05-30,2009-12-16,LEARNING TREE INTERNATIONAL INC,DE,N,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,Y,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
35,1002037,1002037C20070619,2007-06-19,2009-12-16,LEARNING TREE INTERNATIONAL INC,DE,N,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,Y,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
36,1002047,1002047A20130913,1995-12-20,1996-07-25,NETWORK APPLIANCE INC,CA,N,Corp,N,,Y,N,,Y,,,,,,,,,,,,,,,,,,,Y,N,Allow,Allow,Allow,Allow,,
37,1002047,1002047B20130913,2001-11-01,2001-12-04,NETWORK APPLIANCE INC,CA,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,Partly,N,N,N,N,Y,N,Require,Require,Require,Require,N,N
38,1002047,1002047C20130913,2008-03-10,2008-06-24,NetApp  Inc,CA,N,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,Partly,N,N,N,N,Y,N,Require,Require,Require,Require,N,N
39,1002047,1002047D20130913,2013-09-13,2013-11-26,NetApp  Inc,CA,N,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,N,N
